Date,Storm Name,Latitude,Longitude,Avg. Wind speed (kt)
12/24/2012 12:00:00 AM,WUKONG,7.8,132.6,0
12/24/2012 6:00:00 AM,WUKONG,9,131.7,0
12/24/2012 12:00:00 PM,WUKONG,9.3,130.9,0
12/24/2012 6:00:00 PM,WUKONG,9.7,130,0
12/25/2012 12:00:00 AM,WUKONG,10.1,128.8,35
12/25/2012 6:00:00 AM,WUKONG,10.2,127.2,40
12/25/2012 12:00:00 PM,WUKONG,10.4,126.3,40
12/25/2012 6:00:00 PM,WUKONG,10.6,124.7,40
12/26/2012 12:00:00 AM,WUKONG,10.4,123.3,35
12/26/2012 6:00:00 AM,WUKONG,10.2,122,35
12/26/2012 12:00:00 PM,WUKONG,10,120.4,35
12/26/2012 6:00:00 PM,WUKONG,10.5,119,35
12/27/2012 12:00:00 AM,WUKONG,10.3,117.4,35
12/27/2012 6:00:00 AM,WUKONG,10.2,115.9,35
12/27/2012 12:00:00 PM,WUKONG,10.1,114.8,35
12/27/2012 6:00:00 PM,WUKONG,10.1,113.6,35
12/28/2012 12:00:00 AM,WUKONG,9.7,112.5,35
12/28/2012 6:00:00 AM,WUKONG,8.7,111,0
12/28/2012 12:00:00 PM,WUKONG,8.2,109.8,0
12/28/2012 6:00:00 PM,WUKONG,7.7,108.4,0
12/29/2012 12:00:00 AM,WUKONG,7.4,107.3,0
12/29/2012 6:00:00 AM,WUKONG,7,106,0
12/29/2012 12:00:00 PM,WUKONG,7.1,104.9,0
7/18/2012 12:00:00 PM,VICENTE,15,128.6,0
7/18/2012 6:00:00 PM,VICENTE,15,127.6,0
7/19/2012 12:00:00 AM,VICENTE,15.1,126.9,0
7/19/2012 6:00:00 AM,VICENTE,15.3,126.2,0
7/19/2012 12:00:00 PM,VICENTE,15.5,125.6,0
7/19/2012 6:00:00 PM,VICENTE,15.8,124.9,0
7/20/2012 12:00:00 AM,VICENTE,16.2,124.3,0
7/20/2012 6:00:00 AM,VICENTE,17.1,123.4,0
7/20/2012 12:00:00 PM,VICENTE,18.5,122.7,0
7/20/2012 6:00:00 PM,VICENTE,19,120.5,0
7/21/2012 12:00:00 AM,VICENTE,18.7,118.6,0
7/21/2012 6:00:00 AM,VICENTE,18.7,117.6,0
7/21/2012 12:00:00 PM,VICENTE,18.8,116.6,35
7/21/2012 6:00:00 PM,VICENTE,18.8,115.7,40
7/22/2012 12:00:00 AM,VICENTE,18.8,115.3,45
7/22/2012 6:00:00 AM,VICENTE,18.7,115.1,45
7/22/2012 12:00:00 PM,VICENTE,18.8,115.1,45
7/22/2012 6:00:00 PM,VICENTE,19.2,115.3,50
7/23/2012 12:00:00 AM,VICENTE,19.7,115.2,50
7/23/2012 6:00:00 AM,VICENTE,20.5,114.8,60
7/23/2012 12:00:00 PM,VICENTE,21,114.2,70
7/23/2012 6:00:00 PM,VICENTE,21.7,113.4,80
7/24/2012 12:00:00 AM,VICENTE,22.3,112.1,60
7/24/2012 6:00:00 AM,VICENTE,23,110.5,50
7/24/2012 12:00:00 PM,VICENTE,23.3,108.7,40
7/24/2012 6:00:00 PM,VICENTE,23.1,107.1,0
7/25/2012 12:00:00 AM,VICENTE,22.9,105.5,0
7/25/2012 6:00:00 AM,VICENTE,22.6,104.3,0
8/17/2012 6:00:00 AM,TEMBIN,21.4,125.9,0
8/17/2012 12:00:00 PM,TEMBIN,20.8,125.7,0
8/17/2012 6:00:00 PM,TEMBIN,19.9,125.9,0
8/18/2012 12:00:00 AM,TEMBIN,19,126,0
8/18/2012 6:00:00 AM,TEMBIN,18.7,125.8,0
8/18/2012 12:00:00 PM,TEMBIN,18.3,125.4,0
8/18/2012 6:00:00 PM,TEMBIN,17.8,125,0
8/19/2012 12:00:00 AM,TEMBIN,17.6,124.8,0
